x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18
3.144E+00,9E+00,8.379456E+03,1.386759E+03,7.116987E+03,6.0356E+01,6.0356E+01,6.04338E+02,2.88E+02,5.87286E+02,1.389E+00,9.98E-01,7.559E+00,1.02E+00,1.3018E+01,2.58E-01,9.5E-01,9.77E-01
4.161E+00,1.2E+01,1.4724616E+04,1.547466E+03,7.796657E+03,1.13801E+02,1.13801E+02,6.59666E+02,2.88E+02,6.13524E+02,1.657E+00,9.98E-01,8.989E+00,1.022E+00,1.8023E+01,3.57E-01,9.5E-01,9.77E-01
5.14E+00,1.5E+01,2.1636925E+04,1.924315E+03,8.49661E+03,1.75282E+02,1.75282E+02,7.29497E+02,2.88E+02,6.45272E+02,2.078E+00,9.98E-01,1.1174E+01,1.026E+00,2.626E+01,5.2E-01,9.5E-01,9.77E-01
6.175E+00,1.8E+01,2.9793328E+04,2.307377E+03,8.830433E+03,2.4622E+02,2.4622E+02,7.98166E+02,2.88E+02,6.75943E+02,2.501E+00,9.98E-01,1.3328E+01,1.03E+00,3.5613E+01,7.05E-01,9.5E-01,9.77E-01
7.148E+00,2.1E+01,3.8981432E+04,2.678086E+03,9.133432E+03,3.32108E+02,3.32108E+02,8.52658E+02,2.88E+02,6.99604E+02,2.962E+00,9.98E-01,1.5644E+01,1.035E+00,4.5717E+01,9.05E-01,9.5E-01,9.77E-01
8.206E+00,2.4E+01,5.0997566E+04,3.087601E+03,9.319306E+03,4.38134E+02,4.38134E+02,9.50027E+02,2.88E+02,7.41441E+02,3.574E+00,9.98E-01,1.8589E+01,1.041E+00,6.2245E+01,1.232E+00,9.5E-01,9.77E-01
9.3E+00,2.7E+01,7.2764565E+04,3.560403E+03,9.780103E+03,6.45076E+02,6.45076E+02,1.113985E+03,2.88E+02,7.88806E+02,4.495E+00,9.98E-01,2.2756E+01,1.049E+00,9.2342E+01,1.828E+00,9.5E-01,9.77E-01
1.138E+00,3E+00,1.341723E+03,1.391603E+03,6.714114E+03,1.0018E+01,1.0018E+01,4.90661E+02,2.88E+02,5.56617E+02,1.142E+00,9.98E-01,6.185E+00,1.019E+00,0E+00,1.07E-01,9.5E-01,9.78E-01
2.088E+00,6E+00,6.895321E+03,1.366843E+03,6.830317E+03,2.6481E+01,2.6481E+01,6.33651E+02,2.88E+02,5.80761E+02,1.326E+00,9.98E-01,7.239E+00,1.019E+00,1.5319E+01,2.89E-01,9.5E-01,9.78E-01
3.144E+00,9E+00,8.379548E+03,1.386759E+03,7.119575E+03,6.0351E+01,6.0351E+01,6.03509E+02,2.88E+02,5.87136E+02,1.389E+00,9.98E-01,7.552E+00,1.02E+00,1.2983E+01,2.57E-01,9.5E-01,9.78E-01
4.161E+00,1.2E+01,1.4724731E+04,1.547467E+03,7.798673E+03,1.13797E+02,1.13797E+02,6.58766E+02,2.88E+02,6.13361E+02,1.657E+00,9.98E-01,8.98E+00,1.022E+00,1.798E+01,3.56E-01,9.5E-01,9.78E-01
5.14E+00,1.5E+01,2.1636973E+04,1.924318E+03,8.497521E+03,1.753E+02,1.753E+02,7.28501E+02,2.88E+02,6.45088E+02,2.078E+00,9.98E-01,1.1162E+01,1.026E+00,2.6203E+01,5.19E-01,9.5E-01,9.78E-01
6.175E+00,1.8E+01,2.9793658E+04,2.307365E+03,8.831471E+03,2.46288E+02,2.46288E+02,7.97037E+02,2.88E+02,6.75718E+02,2.5E+00,9.98E-01,1.3315E+01,1.03E+00,3.554E+01,7.04E-01,9.5E-01,9.78E-01
7.148E+00,2.1E+01,3.8981087E+04,2.678087E+03,9.133933E+03,3.32197E+02,3.32197E+02,8.51618E+02,2.88E+02,6.99429E+02,2.961E+00,9.98E-01,1.5627E+01,1.035E+00,4.5636E+01,9.04E-01,9.5E-01,9.78E-01
8.206E+00,2.4E+01,5.0997769E+04,3.087617E+03,9.319674E+03,4.38052E+02,4.38052E+02,9.48984E+02,2.88E+02,7.41277E+02,3.574E+00,9.98E-01,1.8568E+01,1.041E+00,6.2148E+01,1.23E+00,9.5E-01,9.78E-01
9.3E+00,2.7E+01,7.2765436E+04,3.560405E+03,9.780887E+03,6.4504E+02,6.4504E+02,1.113084E+03,2.88E+02,7.88664E+02,4.494E+00,9.98E-01,2.2729E+01,1.049E+00,9.2235E+01,1.826E+00,9.5E-01,9.78E-01
1.138E+00,3E+00,1.836145E+03,1.403714E+03,6.725143E+03,1.0747E+01,1.0747E+01,5.05147E+02,2.88E+02,5.593E+02,1.163E+00,9.98E-01,6.293E+00,1.019E+00,0E+00,1.24E-01,9.5E-01,9.79E-01
2.088E+00,6E+00,6.846147E+03,1.36427E+03,6.831294E+03,2.6018E+01,2.6018E+01,6.32165E+02,2.88E+02,5.8039E+02,1.324E+00,9.98E-01,7.222E+00,1.019E+00,1.6581E+01,2.88E-01,9.5E-01,9.79E-01
3.144E+00,9E+00,8.379616E+03,1.38676E+03,7.122162E+03,6.0358E+01,6.0358E+01,6.0268E+02,2.88E+02,5.86986E+02,1.388E+00,9.98E-01,7.544E+00,1.02E+00,1.2949E+01,2.56E-01,9.5E-01,9.79E-01
4.161E+00,1.2E+01,1.4724795E+04,1.547468E+03,7.800688E+03,1.13791E+02,1.13791E+02,6.57869E+02,2.88E+02,6.13198E+02,1.657E+00,9.98E-01,8.971E+00,1.022E+00,1.7937E+01,3.55E-01,9.5E-01,9.79E-01
5.14E+00,1.5E+01,2.1637374E+04,1.924318E+03,8.498442E+03,1.75283E+02,1.75283E+02,7.2751E+02,2.88E+02,6.44904E+02,2.077E+00,9.98E-01,1.1151E+01,1.026E+00,2.6147E+01,5.18E-01,9.5E-01,9.79E-01
6.175E+00,1.8E+01,2.9793951E+04,2.307351E+03,8.832506E+03,2.46254E+02,2.46254E+02,7.95911E+02,2.88E+02,6.75493E+02,2.5E+00,9.98E-01,1.3301E+01,1.03E+00,3.5467E+01,7.02E-01,9.5E-01,9.79E-01
7.148E+00,2.1E+01,3.8980696E+04,2.678086E+03,9.134434E+03,3.32154E+02,3.32154E+02,8.5058E+02,2.88E+02,6.99255E+02,2.961E+00,9.98E-01,1.561E+01,1.035E+00,4.5555E+01,9.02E-01,9.5E-01,9.79E-01
8.206E+00,2.4E+01,5.0997922E+04,3.087627E+03,9.32004E+03,4.37996E+02,4.37996E+02,9.47943E+02,2.88E+02,7.41114E+02,3.573E+00,9.98E-01,1.8547E+01,1.041E+00,6.2051E+01,1.228E+00,9.5E-01,9.79E-01
9.3E+00,2.7E+01,7.2766645E+04,3.560405E+03,9.781672E+03,6.44879E+02,6.44879E+02,1.112188E+03,2.88E+02,7.88523E+02,4.493E+00,9.98E-01,2.2701E+01,1.049E+00,9.2129E+01,1.824E+00,9.5E-01,9.79E-01
1.138E+00,3E+00,2.208183E+03,1.410089E+03,6.732248E+03,1.1143E+01,1.1143E+01,5.15967E+02,2.88E+02,5.6121E+02,1.178E+00,9.98E-01,6.372E+00,1.019E+00,0E+00,1.36E-01,9.5E-01,9.8E-01
2.088E+00,6E+00,6.838593E+03,1.364796E+03,6.834172E+03,2.6113E+01,2.6113E+01,6.30902E+02,2.88E+02,5.80222E+02,1.324E+00,9.98E-01,7.214E+00,1.019E+00,1.6216E+01,2.87E-01,9.5E-01,9.8E-01
3.144E+00,9E+00,8.379729E+03,1.38676E+03,7.124753E+03,6.0361E+01,6.0361E+01,6.01855E+02,2.88E+02,5.86836E+02,1.388E+00,9.98E-01,7.537E+00,1.02E+00,1.2915E+01,2.56E-01,9.5E-01,9.8E-01
4.161E+00,1.2E+01,1.4724872E+04,1.547468E+03,7.802704E+03,1.13798E+02,1.13798E+02,6.56974E+02,2.88E+02,6.13035E+02,1.656E+00,9.98E-01,8.962E+00,1.022E+00,1.7894E+01,3.54E-01,9.5E-01,9.8E-01
5.14E+00,1.5E+01,2.1637135E+04,1.924322E+03,8.499345E+03,1.75329E+02,1.75329E+02,7.26517E+02,2.88E+02,6.4472E+02,2.077E+00,9.98E-01,1.1139E+01,1.026E+00,2.609E+01,5.16E-01,9.5E-01,9.8E-01
6.175E+00,1.8E+01,2.9794302E+04,2.307344E+03,8.833546E+03,2.46236E+02,2.46236E+02,7.94789E+02,2.88E+02,6.75268E+02,2.5E+00,9.98E-01,1.3287E+01,1.03E+00,3.5393E+01,7.01E-01,9.5E-01,9.8E-01
7.148E+00,2.1E+01,3.8980287E+04,2.678088E+03,9.134934E+03,3.32194E+02,3.32194E+02,8.49545E+02,2.88E+02,6.99082E+02,2.96E+00,9.98E-01,1.5592E+01,1.035E+00,4.5473E+01,9E-01,9.5E-01,9.8E-01
8.206E+00,2.4E+01,5.099805E+04,3.087634E+03,9.320404E+03,4.38004E+02,4.38004E+02,9.46906E+02,2.88E+02,7.40952E+02,3.572E+00,9.98E-01,1.8525E+01,1.041E+00,6.1954E+01,1.226E+00,9.5E-01,9.8E-01
9.3E+00,2.7E+01,7.2767018E+04,3.560412E+03,9.782442E+03,6.44844E+02,6.44844E+02,1.11129E+03,2.88E+02,7.88382E+02,4.492E+00,9.98E-01,2.2674E+01,1.049E+00,9.2023E+01,1.822E+00,9.5E-01,9.8E-01
1.138E+00,3E+00,2.951927E+03,1.417178E+03,6.740109E+03,1.1583E+01,1.1583E+01,5.38322E+02,2.88E+02,5.64943E+02,1.207E+00,9.98E-01,6.528E+00,1.019E+00,0E+00,1.62E-01,9.5E-01,9.81E-01
2.088E+00,6E+00,6.804076E+03,1.363758E+03,6.836062E+03,2.5915E+01,2.5915E+01,6.29367E+02,2.88E+02,5.79931E+02,1.323E+00,9.98E-01,7.2E+00,1.019E+00,1.6701E+01,2.86E-01,9.5E-01,9.81E-01
3.144E+00,9E+00,8.379829E+03,1.386761E+03,7.127343E+03,6.0364E+01,6.0364E+01,6.0103E+02,2.88E+02,5.86686E+02,1.388E+00,9.98E-01,7.53E+00,1.02E+00,1.2881E+01,2.55E-01,9.5E-01,9.81E-01
4.161E+00,1.2E+01,1.4724969E+04,1.547469E+03,7.804726E+03,1.13802E+02,1.13802E+02,6.56081E+02,2.88E+02,6.12872E+02,1.656E+00,9.98E-01,8.953E+00,1.022E+00,1.7852E+01,3.53E-01,9.5E-01,9.81E-01
5.14E+00,1.5E+01,2.163762E+04,1.924323E+03,8.500268E+03,1.75336E+02,1.75336E+02,7.25531E+02,2.88E+02,6.44537E+02,2.077E+00,9.98E-01,1.1128E+01,1.026E+00,2.6034E+01,5.15E-01,9.5E-01,9.81E-01
6.175E+00,1.8E+01,2.979458E+04,2.30733E+03,8.83458E+03,2.46315E+02,2.46315E+02,7.93671E+02,2.88E+02,6.75044E+02,2.499E+00,9.98E-01,1.3273E+01,1.03E+00,3.5321E+01,6.99E-01,9.5E-01,9.81E-01
7.148E+00,2.1E+01,3.8979934E+04,2.678088E+03,9.135434E+03,3.32058E+02,3.32058E+02,8.48513E+02,2.88E+02,6.98909E+02,2.96E+00,9.98E-01,1.5575E+01,1.035E+00,4.5392E+01,8.99E-01,9.5E-01,9.81E-01
8.206E+00,2.4E+01,5.0998096E+04,3.087637E+03,9.320766E+03,4.38054E+02,4.38054E+02,9.45871E+02,2.88E+02,7.4079E+02,3.571E+00,9.98E-01,1.8504E+01,1.041E+00,6.1857E+01,1.225E+00,9.5E-01,9.81E-01
9.3E+00,2.7E+01,7.2767717E+04,3.560417E+03,9.783213E+03,6.44801E+02,6.44801E+02,1.110396E+03,2.88E+02,7.88242E+02,4.49E+00,9.98E-01,2.2647E+01,1.049E+00,9.1917E+01,1.82E+00,9.5E-01,9.81E-01
1.138E+00,3E+00,3.774812E+03,1.418886E+03,6.744353E+03,1.1699E+01,1.1699E+01,5.62543E+02,2.88E+02,5.68684E+02,1.236E+00,9.98E-01,6.688E+00,1.019E+00,0E+00,1.91E-01,9.5E-01,9.82E-01
2.088E+00,6E+00,6.606714E+03,1.358928E+03,6.835649E+03,2.5032E+01,2.5032E+01,6.24597E+02,2.88E+02,5.78975E+02,1.316E+00,9.98E-01,7.155E+00,1.019E+00,1.8868E+01,2.82E-01,9.5E-01,9.82E-01
3.144E+00,9E+00,8.379928E+03,1.386761E+03,7.129934E+03,6.0365E+01,6.0365E+01,6.00208E+02,2.88E+02,5.86536E+02,1.388E+00,9.98E-01,7.522E+00,1.02E+00,1.2847E+01,2.54E-01,9.5E-01,9.82E-01
4.161E+00,1.2E+01,1.4725068E+04,1.54747E+03,7.806748E+03,1.13794E+02,1.13794E+02,6.5519E+02,2.88E+02,6.1271E+02,1.656E+00,9.98E-01,8.943E+00,1.022E+00,1.7809E+01,3.53E-01,9.5E-01,9.82E-01
5.14E+00,1.5E+01,2.1637728E+04,1.924325E+03,8.501181E+03,1.75288E+02,1.75288E+02,7.24546E+02,2.88E+02,6.44354E+02,2.076E+00,9.98E-01,1.1116E+01,1.026E+00,2.5977E+01,5.14E-01,9.5E-01,9.82E-01
6.175E+00,1.8E+01,2.9794844E+04,2.307317E+03,8.835613E+03,2.46246E+02,2.46246E+02,7.92556E+02,2.88E+02,6.74821E+02,2.499E+00,9.98E-01,1.3259E+01,1.03E+00,3.5248E+01,6.98E-01,9.5E-01,9.82E-01
7.148E+00,2.1E+01,3.8979558E+04,2.678088E+03,9.135933E+03,3.32152E+02,3.32152E+02,8.47483E+02,2.88E+02,6.98736E+02,2.959E+00,9.98E-01,1.5558E+01,1.035E+00,4.5312E+01,8.97E-01,9.5E-01,9.82E-01
8.206E+00,2.4E+01,5.099804E+04,3.087637E+03,9.321126E+03,4.38031E+02,4.38031E+02,9.44838E+02,2.88E+02,7.40628E+02,3.57E+00,9.98E-01,1.8482E+01,1.041E+00,6.1761E+01,1.223E+00,9.5E-01,9.82E-01
9.3E+00,2.7E+01,7.2768206E+04,3.560423E+03,9.783976E+03,6.44965E+02,6.44965E+02,1.109503E+03,2.88E+02,7.88103E+02,4.489E+00,9.98E-01,2.2619E+01,1.049E+00,9.1811E+01,1.817E+00,9.5E-01,9.82E-01
1.138E+00,3E+00,4.053735E+03,1.417887E+03,6.74647E+03,1.1648E+01,1.1648E+01,5.70474E+02,2.88E+02,5.69653E+02,1.245E+00,9.98E-01,6.73E+00,1.019E+00,0E+00,2E-01,9.5E-01,9.83E-01
2.088E+00,6E+00,6.563076E+03,1.358234E+03,6.837777E+03,2.4908E+01,2.4908E+01,6.22744E+02,2.88E+02,5.78637E+02,1.314E+00,9.98E-01,7.139E+00,1.019E+00,1.9074E+01,2.8E-01,9.5E-01,9.83E-01
3.144E+00,9E+00,8.380079E+03,1.386762E+03,7.13253E+03,6.0363E+01,6.0363E+01,5.99387E+02,2.88E+02,5.86387E+02,1.388E+00,9.98E-01,7.515E+00,1.02E+00,1.2813E+01,2.54E-01,9.5E-01,9.83E-01
4.161E+00,1.2E+01,1.4725087E+04,1.54747E+03,7.808765E+03,1.13802E+02,1.13802E+02,6.54301E+02,2.88E+02,6.12548E+02,1.656E+00,9.98E-01,8.934E+00,1.022E+00,1.7767E+01,3.52E-01,9.5E-01,9.83E-01
5.14E+00,1.5E+01,2.1637989E+04,1.924326E+03,8.502099E+03,1.75321E+02,1.75321E+02,7.23564E+02,2.88E+02,6.44172E+02,2.076E+00,9.98E-01,1.1105E+01,1.026E+00,2.5921E+01,5.13E-01,9.5E-01,9.83E-01
6.175E+00,1.8E+01,2.9795241E+04,2.307311E+03,8.836655E+03,2.46255E+02,2.46255E+02,7.91444E+02,2.88E+02,6.74599E+02,2.499E+00,9.98E-01,1.3246E+01,1.03E+00,3.5176E+01,6.96E-01,9.5E-01,9.83E-01
7.148E+00,2.1E+01,3.8979213E+04,2.678089E+03,9.136433E+03,3.32045E+02,3.32045E+02,8.46457E+02,2.88E+02,6.98564E+02,2.958E+00,9.98E-01,1.5541E+01,1.035E+00,4.5231E+01,8.96E-01,9.5E-01,9.83E-01
8.206E+00,2.4E+01,5.099794E+04,3.087634E+03,9.321484E+03,4.38004E+02,4.38004E+02,9.43809E+02,2.88E+02,7.40467E+02,3.569E+00,9.98E-01,1.8461E+01,1.041E+00,6.1664E+01,1.221E+00,9.5E-01,9.83E-01
9.3E+00,2.7E+01,7.2768423E+04,3.560431E+03,9.784732E+03,6.45029E+02,6.45029E+02,1.108612E+03,2.88E+02,7.87964E+02,4.488E+00,9.98E-01,2.2592E+01,1.049E+00,9.1705E+01,1.815E+00,9.5E-01,9.83E-01
1.138E+00,3E+00,5.449868E+03,1.407844E+03,6.743278E+03,1.1046E+01,1.1046E+01,6.10426E+02,2.88E+02,5.75121E+02,1.288E+00,9.98E-01,6.975E+00,1.019E+00,0E+00,2.49E-01,9.5E-01,9.84E-01
2.088E+00,6E+00,6.491693E+03,1.356728E+03,6.839411E+03,2.4629E+01,2.4629E+01,6.2037E+02,2.88E+02,5.78179E+02,1.311E+00,9.98E-01,7.118E+00,1.019E+00,1.9526E+01,2.78E-01,9.5E-01,9.84E-01
3.144E+00,9E+00,8.380141E+03,1.386763E+03,7.13512E+03,6.0365E+01,6.0365E+01,5.98568E+02,2.88E+02,5.86237E+02,1.388E+00,9.98E-01,7.508E+00,1.02E+00,1.278E+01,2.53E-01,9.5E-01,9.84E-01
4.161E+00,1.2E+01,1.472517E+04,1.547471E+03,7.81079E+03,1.13792E+02,1.13792E+02,6.53415E+02,2.88E+02,6.12387E+02,1.656E+00,9.98E-01,8.925E+00,1.022E+00,1.7724E+01,3.51E-01,9.5E-01,9.84E-01
5.14E+00,1.5E+01,2.1638127E+04,1.924328E+03,8.503014E+03,1.75304E+02,1.75304E+02,7.22583E+02,2.88E+02,6.4399E+02,2.076E+00,9.98E-01,1.1093E+01,1.026E+00,2.5865E+01,5.12E-01,9.5E-01,9.84E-01
6.175E+00,1.8E+01,2.9795502E+04,2.3073E+03,8.837687E+03,2.46333E+02,2.46333E+02,7.90336E+02,2.88E+02,6.74376E+02,2.498E+00,9.98E-01,1.3232E+01,1.03E+00,3.5103E+01,6.95E-01,9.5E-01,9.84E-01
7.148E+00,2.1E+01,3.8978773E+04,2.678088E+03,9.136933E+03,3.32181E+02,3.32181E+02,8.45431E+02,2.88E+02,6.98392E+02,2.958E+00,9.98E-01,1.5524E+01,1.035E+00,4.515E+01,8.94E-01,9.5E-01,9.84E-01
8.206E+00,2.4E+01,5.099782E+04,3.087633E+03,9.321842E+03,4.38067E+02,4.38067E+02,9.42782E+02,2.88E+02,7.40306E+02,3.568E+00,9.98E-01,1.844E+01,1.041E+00,6.1568E+01,1.219E+00,9.5E-01,9.84E-01
9.3E+00,2.7E+01,7.2770382E+04,3.560421E+03,9.785504E+03,6.44892E+02,6.44892E+02,1.107732E+03,2.88E+02,7.87827E+02,4.487E+00,9.98E-01,2.2565E+01,1.049E+00,9.1601E+01,1.813E+00,9.5E-01,9.84E-01
1.138E+00,3E+00,6.30374E+03,1.396991E+03,6.739385E+03,1.04E+01,1.04E+01,6.34168E+02,2.88E+02,5.78057E+02,1.312E+00,9.98E-01,7.11E+00,1.019E+00,0E+00,2.78E-01,9.5E-01,9.85E-01
2.088E+00,6E+00,6.420429E+03,1.355785E+03,6.841396E+03,2.4465E+01,2.4465E+01,6.17954E+02,2.88E+02,5.778E+02,1.309E+00,9.98E-01,7.101E+00,1.019E+00,2.0263E+01,2.76E-01,9.5E-01,9.85E-01
3.144E+00,9E+00,8.380258E+03,1.386763E+03,7.137715E+03,6.0371E+01,6.0371E+01,5.9775E+02,2.88E+02,5.86088E+02,1.388E+00,9.98E-01,7.501E+00,1.02E+00,1.2746E+01,2.52E-01,9.5E-01,9.85E-01
4.161E+00,1.2E+01,1.4725326E+04,1.547471E+03,7.812823E+03,1.13806E+02,1.13806E+02,6.52531E+02,2.88E+02,6.12226E+02,1.655E+00,9.98E-01,8.916E+00,1.022E+00,1.7682E+01,3.5E-01,9.5E-01,9.85E-01
5.14E+00,1.5E+01,2.1638294E+04,1.92433E+03,8.50393E+03,1.75328E+02,1.75328E+02,7.21606E+02,2.88E+02,6.43808E+02,2.076E+00,9.98E-01,1.1082E+01,1.026E+00,2.5809E+01,5.11E-01,9.5E-01,9.85E-01
6.175E+00,1.8E+01,2.9795876E+04,2.307294E+03,8.838727E+03,2.46256E+02,2.46256E+02,7.89231E+02,2.88E+02,6.74155E+02,2.498E+00,9.98E-01,1.3218E+01,1.03E+00,3.5031E+01,6.94E-01,9.5E-01,9.85E-01
7.148E+00,2.1E+01,3.8978199E+04,2.678082E+03,9.137443E+03,3.32044E+02,3.32044E+02,8.44398E+02,2.88E+02,6.98223E+02,2.957E+00,9.98E-01,1.5507E+01,1.035E+00,4.507E+01,8.92E-01,9.5E-01,9.85E-01
8.206E+00,2.4E+01,5.0997702E+04,3.087631E+03,9.322199E+03,4.3799E+02,4.3799E+02,9.41759E+02,2.88E+02,7.40146E+02,3.567E+00,9.98E-01,1.8419E+01,1.041E+00,6.1472E+01,1.217E+00,9.5E-01,9.85E-01
9.3E+00,2.7E+01,7.2771461E+04,3.560421E+03,9.786262E+03,6.44815E+02,6.44815E+02,1.10685E+03,2.88E+02,7.87691E+02,4.485E+00,9.98E-01,2.2538E+01,1.049E+00,9.1496E+01,1.811E+00,9.5E-01,9.85E-01
1.138E+00,3E+00,7.325655E+03,1.374993E+03,6.728644E+03,9.099E+00,9.099E+00,6.66257E+02,2.88E+02,5.8093E+02,1.334E+00,9.98E-01,7.245E+00,1.019E+00,4.989E+00,3.22E-01,9.5E-01,9.86E-01
2.088E+00,6E+00,6.310331E+03,1.354347E+03,6.84308E+03,2.4201E+01,2.4201E+01,6.14503E+02,2.88E+02,5.77215E+02,1.305E+00,9.98E-01,7.074E+00,1.019E+00,2.0679E+01,2.72E-01,9.5E-01,9.86E-01
3.144E+00,9E+00,8.38039E+03,1.386764E+03,7.140311E+03,6.0369E+01,6.0369E+01,5.96935E+02,2.88E+02,5.85939E+02,1.388E+00,9.98E-01,7.493E+00,1.02E+00,1.2712E+01,2.52E-01,9.5E-01,9.86E-01
4.161E+00,1.2E+01,1.4725397E+04,1.547472E+03,7.81485E+03,1.13784E+02,1.13784E+02,6.51649E+02,2.88E+02,6.12065E+02,1.655E+00,9.98E-01,8.907E+00,1.022E+00,1.764E+01,3.49E-01,9.5E-01,9.86E-01
