theta1,theta2,theta3,theta4,theta5,theta6,theta7,theta8,y
-4.4847905E-01,-9.4751475E-01,-1.2662242E+00,6.9072685E-01,5.0203626E-01,-1.0119485E+00,-6.595325E-01,-1.1106774E+00,1.1351477E+00
-9.0662327E-01,-1.4723249E-01,-2.8089623E-01,8.6126749E-01,-5.9439056E-01,7.6346047E-01,-1.2239095E+00,1.8785035E-01,8.8741745E-01
-8.929385E-01,1.0384792E+00,7.9082759E-01,-1.1362771E+00,3.4250282E-01,1.2157264E+00,9.0241171E-01,-9.9826331E-02,4.6601327E-01
-2.2918853E-01,-9.6954996E-01,-6.3915664E-01,3.3313937E-01,1.0471561E+00,-2.0584408E-01,-7.7568326E-01,-1.7066987E-01,1.3441938E+00
-3.7902806E-01,2.1493572E-01,-1.2004137E+00,7.5536518E-01,3.5027565E-01,-7.279482E-01,7.0092802E-01,-1.7440831E-01,1.0074333E+00
8.2526422E-01,-4.068344E-01,-4.4819061E-02,2.4662562E-01,-2.6184741E-01,-1.2635992E+00,-4.7527851E-01,-1.7452203E-01,8.1236277E-01
8.4224076E-02,-1.560119E+00,7.0828526E-01,1.2761265E+00,5.0184828E-01,-1.4609317E-01,1.0642746E+00,1.0557551E+00,5.8446871E-01
-1.3042462E+00,-1.1884058E+00,6.5572137E-01,2.056606E-01,-6.1223676E-01,1.3375583E+00,-9.6577055E-01,3.5989512E-01,8.702878E-01
1.5674126E+00,7.0971984E-01,1.9562323E-03,7.8575701E-01,-1.1473617E+00,-8.9409122E-01,9.035666E-01,1.1913925E+00,5.8425999E-01
1.2487533E+00,-3.66011E-01,1.4624705E+00,-1.0375058E+00,-6.1253707E-01,-7.5348705E-01,-2.1497101E-01,-7.7730285E-01,5.2122202E-01
-1.1845123E+00,-3.0847449E-01,-8.0024553E-02,-1.521214E+00,8.8574597E-02,-9.6783148E-02,-1.8618583E-01,-1.3866696E+00,1.0426291E+00
1.7493348E-01,-9.0282173E-01,-3.710041E-01,-7.621634E-01,-4.4167289E-01,7.1061882E-01,-1.9889709E-01,-1.422196E+00,8.528549E-01
-4.2377231E-01,1.6774687E-01,5.9544078E-01,-1.4069705E+00,3.872305E-01,-9.6475621E-01,-2.0886786E-01,1.5300024E+00,1.5939153E-01
-3.5073654E-01,1.3129634E+00,-1.5410831E+00,-1.8606166E-01,-1.1970095E+00,-8.9801631E-01,-1.2831606E+00,8.1488019E-01,1.1956055E+00
-1.201234E+00,4.2858738E-01,1.4481101E+00,-1.2536457E+00,6.2056057E-01,-7.489988E-01,9.5349152E-01,1.4890531E+00,6.9272769E-01
-1.2659781E+00,-4.0383153E-01,4.6765658E-01,6.3863535E-01,-3.2619221E-01,-6.1059077E-02,6.7781217E-02,5.8754522E-01,8.098084E-01
7.1286766E-01,-1.3563816E+00,-3.6063826E-01,-1.277753E+00,-2.3323602E-01,1.0808974E+00,-1.1992131E+00,8.4673996E-01,6.0346477E-01
-8.6753878E-01,-1.3090537E+00,-1.1149833E+00,7.3341353E-01,7.0986103E-01,-1.1879907E+00,1.2833355E+00,-2.5627032E-01,1.1264575E+00
-5.928329E-01,-6.9193034E-01,7.5754084E-02,-1.1283005E+00,-1.1345393E+00,1.4034904E+00,-1.1559226E+00,-1.1682848E-02,8.1107379E-01
1.3893216E+00,9.0270106E-01,8.5387046E-01,-6.9360648E-01,1.2659674E+00,1.3850401E+00,1.7653245E-02,1.5667037E+00,6.6601999E-01
-1.1304668E+00,9.4578989E-01,2.0556672E-01,1.0062508E+00,-8.925268E-01,-8.3298842E-01,1.3883847E+00,-1.2408177E+00,1.6067133E-01
5.9678293E-01,-5.6814579E-01,-7.9203232E-01,8.63632E-01,4.0692487E-01,-1.0995326E+00,-1.1678187E+00,-5.3153754E-01,9.0508746E-01
-9.7462155E-01,-1.5262471E+00,-7.5916994E-01,9.0498158E-01,-6.0898849E-02,-9.9593113E-01,1.1419747E+00,1.1381542E+00,9.9087222E-01
-2.0037867E-01,-5.307344E-01,-1.361403E+00,-1.5661481E+00,6.3224943E-01,-2.0885547E-01,1.1797135E+00,-2.0080303E-01,1.1605411E+00
2.2974055E-02,-1.0714748E+00,-8.8033648E-01,1.1532746E+00,1.3497381E+00,-1.0748819E+00,8.5289745E-01,-8.2606505E-01,1.0504132E+00
-2.9094736E-01,-6.686577E-01,1.0862226E+00,-5.4009911E-01,-3.9187098E-01,-1.3819579E+00,-4.3987739E-01,-9.7741361E-01,7.3385537E-01
1.5074016E+00,-6.5306035E-01,3.4817918E-01,-1.3846075E+00,-1.3973144E+00,-7.7201578E-01,-8.5183699E-01,-2.6102489E-03,2.2132653E-01
1.0950623E+00,7.3939005E-01,-9.3969724E-01,-1.3214585E+00,-1.2588476E+00,-4.9151434E-01,-5.8664119E-01,1.1184408E-01,5.7695208E-01
1.2628763E+00,-1.2120054E+00,-7.0516883E-01,1.3077102E+00,1.1744834E+00,1.5072309E+00,-1.3607575E+00,1.0910499E+00,1.1722645E+00
5.616837E-01,-8.790918E-02,1.4565041E+00,1.029223E-01,9.1615371E-01,1.3676163E+00,5.4391753E-01,-2.0125735E-01,3.5994711E-01
-2.6791663E-01,-9.410331E-01,1.747585E-01,-1.2024764E+00,8.4979754E-01,-1.5061953E+00,-4.1273488E-01,9.6301508E-01,2.8333815E-01
-9.7256636E-01,-1.1658314E+00,-2.2293939E-01,-1.5578492E-01,8.6707999E-01,3.2972014E-01,-1.9846652E-01,-9.0846116E-02,1.3459304E+00
-2.1630768E-01,-1.4287008E-02,9.776832E-01,-1.3304892E+00,-8.3494123E-01,-1.6296822E-01,7.4454418E-01,-3.6647139E-02,6.7822628E-01
-6.6051887E-01,-1.3607004E+00,1.3919586E+00,3.2525473E-01,6.3711153E-01,4.6188751E-01,5.9054703E-01,-1.7630119E-01,2.4686742E-01
1.0477574E+00,1.5028454E+00,-7.916878E-01,1.8506573E-01,1.3857981E+00,6.7898846E-02,1.0327992E+00,-5.7215495E-01,8.1654611E-01
1.0310845E+00,-8.2002541E-02,-1.2519808E+00,2.2291916E-01,-6.589026E-01,7.7777502E-01,9.5615484E-01,2.0680374E-01,7.4152645E-01
4.1286281E-01,9.424686E-01,3.4674719E-01,-1.3177742E+00,-6.1878627E-02,-1.0232295E-01,8.4790161E-01,1.1490335E+00,7.0528018E-01
-7.9289612E-01,1.5956438E-01,1.2557918E-01,3.9659531E-01,-1.2691079E-01,-1.2905658E+00,4.1813345E-01,4.3647951E-01,9.9175241E-01
4.3099733E-01,-1.1215383E+00,-5.410647E-01,-8.8220492E-01,1.5182817E-01,-9.8401979E-01,-1.7392956E-01,2.9223178E-01,7.8589652E-01
-7.4058346E-01,-1.3830495E-01,1.236346E+00,1.0992216E+00,8.0288442E-01,-1.0769531E+00,-1.5529457E+00,1.2301933E+00,5.9385283E-01
3.8858886E-03,2.8723744E-01,7.7328074E-01,-1.0895073E+00,9.3797376E-01,1.5066037E+00,-6.3094508E-03,1.0373619E+00,8.28349E-01
-6.6331628E-01,-1.0281866E+00,-2.3942031E-01,9.9450765E-01,1.3123861E-02,2.5119485E-01,7.7120996E-01,-8.9723851E-01,5.1830445E-01
1.155561E+00,1.1693638E+00,4.430786E-01,1.417156E+00,6.6124222E-01,-4.6871404E-01,-4.8551777E-01,-2.4288656E-01,8.5680827E-01
1.8763412E-01,-3.0702443E-01,1.2474985E+00,-1.4146745E+00,-1.4568569E+00,1.4375607E+00,-1.3810736E+00,-1.2655878E+00,5.0022092E-01
-5.9235426E-01,1.4771964E+00,-2.8240109E-01,-8.6088572E-01,1.7999484E-01,-9.0582612E-01,1.523828E+00,9.894415E-01,9.8412045E-01
9.1030553E-03,-7.6680414E-01,6.3133861E-01,1.2694334E+00,-1.8044583E-01,-6.1585928E-02,7.1398804E-01,1.0934046E+00,6.0887038E-01
-9.4298964E-01,-8.6410297E-01,-1.3918973E+00,8.1124675E-01,-1.1161552E+00,-1.4907009E+00,-8.8698762E-01,-1.4663998E+00,1.1949203E+00
5.0799229E-01,6.0424631E-01,-1.3197722E+00,1.1199921E-01,-7.7152273E-01,-8.0352348E-03,-7.4371145E-01,1.3135971E-02,6.6761958E-01
-1.0224892E+00,-1.2012854E+00,1.3735913E+00,5.5676446E-01,1.5118968E+00,4.0292521E-02,8.3889074E-01,8.6477559E-01,4.1543189E-01
-4.6488361E-01,1.0125032E+00,1.5262201E+00,-1.2641585E+00,1.2485594E+00,-1.3876056E+00,-2.3123834E-01,1.2757326E+00,5.0710849E-01
-1.579202E-01,-8.658297E-01,7.7296072E-02,-1.202641E-01,-1.3010763E+00,-1.4442792E+00,-2.7269168E-01,-1.3147167E-01,8.3476123E-01
4.8097814E-01,-1.425545E-01,-1.5042822E+00,-1.2345757E+00,1.4364149E+00,1.0854871E+00,4.5458632E-01,-1.1047273E+00,7.1203666E-01
4.8174648E-01,1.1217509E+00,1.0665344E+00,7.0526164E-01,-1.3149333E+00,5.5303227E-01,-1.2108917E-01,-3.3958088E-01,1.598116E-01
8.288037E-01,5.6904508E-01,-6.844191E-01,1.0328733E-01,1.020312E+00,-1.1593092E+00,6.0631807E-01,9.3795739E-01,1.0360063E+00
-1.1796206E-01,9.3268978E-01,1.4804833E+00,-1.3505246E+00,1.5705981E+00,-3.5140067E-01,-9.3868987E-01,-2.620568E-01,6.4134995E-01
-2.4343913E-01,-8.3015231E-01,1.0696464E+00,-2.6075677E-01,1.3804459E+00,2.0308416E-01,5.1770718E-01,1.2426581E-01,5.6168099E-01
-1.1278375E+00,-5.5685553E-01,1.3545609E+00,-1.7238347E-02,4.9209838E-01,1.4658005E+00,-1.1070639E+00,-6.2359969E-01,5.2661844E-01
8.0495439E-01,-2.664479E-01,-1.0165199E+00,-6.9837606E-01,-1.1160108E+00,-6.6112087E-01,1.2305666E+00,-4.8689141E-01,7.0760228E-01
1.1704253E+00,-1.4203336E+00,-6.6985287E-01,-6.1630658E-01,-1.4848034E+00,3.5472859E-01,1.027863E+00,6.6489041E-01,8.7304188E-01
-1.3152255E+00,1.415163E+00,1.2508589E+00,-4.3377262E-01,-1.4205588E+00,-8.194632E-01,-3.2539761E-01,1.6808578E-01,6.9099652E-01
-7.4905717E-01,-3.5344253E-01,-3.5245113E-01,1.2201957E+00,7.7240689E-01,2.4200082E-02,5.5511342E-01,7.2593414E-01,9.6046348E-01
-1.0421155E+00,4.4315067E-01,1.3976813E+00,-4.8783664E-01,7.817341E-01,1.4653206E+00,-7.388634E-01,-1.1707443E+00,1.9630649E-01
-4.5623584E-01,-6.8292554E-01,1.1409926E+00,4.8648138E-01,4.6462142E-01,6.9866563E-01,6.385196E-01,-9.0460691E-01,3.3287683E-01
6.7195499E-01,1.4500111E+00,3.8057436E-01,-1.2731219E+00,-1.1072133E+00,-8.0005107E-01,-8.1602995E-02,-1.5614873E+00,3.8816368E-01
-4.7805307E-01,1.0025848E+00,3.0585252E-02,2.8540473E-02,-1.2811208E+00,-4.4171748E-01,1.3744585E+00,9.4867863E-01,4.7022107E-01
1.5561313E+00,-1.0604639E+00,-1.1748575E+00,-9.8394093E-01,6.784865E-01,-3.6228766E-01,3.9375915E-01,8.5893514E-01,1.1436294E+00
1.3935437E-01,-9.6126964E-01,-9.202269E-01,2.4844799E-01,-6.5866879E-01,-5.6219968E-01,-1.4257179E+00,5.0460795E-01,1.1052736E+00
-1.4992423E+00,1.1521672E+00,-1.9283292E-01,4.8875168E-01,7.2608987E-01,1.0206682E+00,-1.1139881E+00,-1.3544164E+00,8.0296923E-01
9.4850184E-01,-3.0283171E-01,1.1807699E+00,-8.1538137E-01,1.4465208E+00,1.2740674E+00,1.0940395E+00,3.0407523E-01,3.9646365E-01
1.0292799E+00,-3.1240928E-01,-2.4116235E-01,-4.8752757E-01,-1.1104684E+00,1.5485977E-01,-2.2037886E-01,-7.7887631E-01,6.1050498E-01
1.4973256E+00,-1.06147E+00,-5.6112627E-01,-6.0227556E-01,5.6014655E-01,1.4894912E+00,3.0228653E-02,4.4251264E-01,1.0908929E+00
1.3939725E+00,9.7873957E-01,2.1184522E-01,-2.338451E-01,-9.7007112E-01,-1.4740847E+00,-8.8503912E-01,1.1601032E+00,7.2730303E-01
-1.5029446E+00,2.96817E-01,1.0581945E+00,-1.021701E-01,8.8057459E-01,-3.4261916E-01,5.8868009E-01,1.1305299E+00,6.8618572E-01
1.5559394E+00,-2.4585931E-01,5.1904372E-01,1.2783853E+00,-2.2591837E-01,1.3906062E-01,1.0709263E+00,4.6351825E-01,2.6131916E-01
5.6499437E-02,-9.6312267E-01,-6.3501746E-01,4.6965344E-01,1.1755295E+00,-1.5303216E-01,8.7444096E-01,-7.985691E-01,7.3648214E-01
8.2506353E-01,1.424193E+00,-7.4812389E-01,-1.3569353E+00,-3.5132006E-01,9.5279822E-01,3.5880534E-01,-6.6697001E-01,8.8095717E-01
-1.4718711E-01,6.1755526E-01,-1.0643877E+00,-1.1897192E+00,1.557867E+00,9.8195229E-01,-1.4165824E+00,-5.6241986E-01,1.2203113E+00
-1.340269E+00,-5.7081828E-01,-9.3588222E-01,6.2588172E-01,1.0374898E+00,8.8600484E-01,-1.5116445E+00,4.6168087E-01,1.3424423E+00
-6.8236149E-01,6.8116138E-01,5.8194064E-01,1.1418709E+00,1.2516638E+00,-6.582807E-02,-1.4980789E-01,-2.6348415E-01,6.0816582E-01
1.5052708E+00,3.1561723E-01,8.9847309E-01,-5.6477752E-01,6.0894348E-01,-5.3175131E-01,-1.4054656E+00,1.2675084E+00,2.3973652E-01
-1.5867039E-01,1.5703312E+00,-9.9867638E-01,-1.4643619E+00,-7.9574842E-01,6.8676072E-01,-2.4359828E-02,-1.2546194E-01,8.056081E-01
4.3890134E-01,3.710026E-02,7.7555788E-01,-2.9289817E-01,-3.8381155E-01,1.7600921E-01,-1.0085834E+00,-6.3015378E-01,6.5753671E-01
1.5530054E-01,1.5087259E+00,3.3343775E-01,1.3616216E-01,-1.0309951E+00,-1.1934523E+00,7.720651E-01,-6.8573093E-01,5.9127035E-01
-5.2724246E-01,1.3620264E+00,-5.130509E-01,1.3980234E+00,1.0906238E+00,7.1565904E-01,1.3204002E+00,1.4236666E+00,6.3638754E-01
1.0687718E+00,-1.2080732E+00,8.2528847E-01,6.0830119E-01,-1.0788423E+00,-1.0768386E+00,-2.4458117E-01,1.1953192E+00,6.452021E-01
-7.7881022E-01,2.7686773E-02,4.9168422E-01,9.7568221E-01,1.170734E+00,2.8834976E-01,-1.4724769E+00,-7.5449923E-01,8.2609617E-01
1.5532423E+00,3.7587845E-01,1.3479652E+00,-8.2279604E-01,7.3089789E-01,-1.1830129E+00,1.5478132E+00,-1.4005758E+00,4.9029809E-01
-1.2916605E+00,-3.5363455E-01,1.2262338E+00,5.5774463E-01,5.7354046E-01,2.4231856E-01,-1.432081E+00,4.7546514E-01,7.8361273E-01
-5.3316283E-01,3.5736985E-01,4.6331185E-01,-4.9845804E-01,1.0883259E+00,1.1440408E+00,-1.2441841E+00,-1.0690241E+00,9.0718276E-01
-1.0453584E+00,-4.1006957E-01,-1.1258952E+00,1.0432506E+00,1.1416875E+00,1.3471563E+00,-5.6209859E-01,-3.1910533E-01,1.2048732E+00
-1.5527081E+00,6.1496962E-01,-1.1079804E+00,6.8403653E-01,-5.0628027E-01,1.9712585E-01,-4.2184618E-01,-5.0456661E-01,6.4780456E-01
8.4489749E-01,-4.550247E-02,1.5346334E+00,1.5145038E+00,1.5220159E+00,-1.2861726E+00,6.0588783E-01,-1.0924631E+00,5.9321578E-01
1.9325095E-01,-1.3530002E+00,1.0821226E-01,1.0809637E+00,-1.4671354E+00,5.9664917E-01,1.2549983E+00,-1.5600715E+00,8.1586334E-01
-4.3811988E-01,-1.0263502E+00,-2.5863835E-01,-7.3425411E-02,2.1582538E-01,-8.1140813E-02,1.0315795E-01,-3.8860669E-01,1.2085504E+00
4.123782E-01,6.1679727E-01,1.0294942E+00,5.850248E-01,-1.1622742E+00,-2.8244047E-01,-3.8340505E-01,5.8500695E-02,6.3688665E-01
4.8705554E-01,-7.4411731E-01,-1.1833092E+00,-6.731416E-01,7.9852561E-02,-3.052595E-02,-4.8206813E-01,-9.7324146E-02,1.0935504E+00
-1.0479887E+00,3.0075758E-01,1.5455748E+00,-6.1580942E-01,6.2192128E-01,-9.7004122E-01,4.8453591E-02,1.0428544E+00,7.0179846E-01
1.3635266E+00,1.0105331E-02,-1.3539912E+00,-1.5027901E+00,5.5225711E-01,1.3830399E+00,6.8701233E-01,3.0815474E-01,9.0773938E-01
-1.1270913E+00,1.942981E-01,1.1663177E+00,1.0111553E+00,1.5206004E+00,1.078397E-01,1.2632785E+00,-1.3296239E+00,2.7140111E-01
7.7993254E-01,1.453456E+00,-1.2366025E+00,-1.5299027E+00,-1.2458843E-01,-2.3704243E-01,1.0381274E+00,-8.4116124E-01,8.6553581E-01
-1.5398671E+00,-7.9017606E-01,1.1987245E+00,8.6184829E-01,1.4846294E+00,-4.3269992E-01,-5.9820021E-01,-2.2996895E-01,7.9507205E-01
-1.0659627E-01,-9.7685789E-01,-7.1121725E-02,-7.9959151E-01,-1.5042684E+00,3.9944792E-01,-8.5444516E-01,-9.291515E-01,5.8606676E-01
-8.5574298E-01,-8.7350408E-02,-1.5376231E+00,9.9879285E-01,1.2989578E+00,-6.2281893E-02,-4.3977255E-01,6.0778002E-01,1.2852731E+00
-2.6104328E-01,-9.745334E-01,-8.9607085E-02,1.1819326E+00,6.5613404E-01,-6.2142613E-01,9.1020929E-01,-1.5004437E+00,4.4544464E-01
1.450605E+00,1.281299E+00,-1.203391E+00,4.5028039E-01,6.5459227E-01,1.4865597E+00,1.472947E+00,-3.929544E-01,5.8316327E-01
1.5598181E+00,-8.2466194E-01,1.8029455E-01,-2.3426728E-01,-1.2511044E-01,-4.7734902E-01,6.9971296E-02,-7.5686509E-01,9.0976303E-01
-7.27946E-01,6.1359921E-01,-1.4264137E+00,-9.1450042E-01,-1.0057325E+00,8.2262741E-01,1.0519265E+00,-3.2283754E-01,1.0457684E+00
-1.2266692E+00,-1.0867687E+00,-2.4218089E-01,-1.3372774E+00,1.5633194E+00,-2.5044885E-01,-1.1539335E+00,-3.9998776E-01,8.9839244E-01
-1.4977389E+00,-1.0106472E-01,1.1698666E+00,-6.673067E-01,1.5693395E+00,4.4024998E-01,-1.1092513E+00,4.1396598E-01,6.7762025E-01
1.0836986E+00,1.0067941E+00,-1.2804221E+00,6.2055771E-02,-9.2259368E-01,8.3065906E-01,-9.7572595E-01,-1.1015158E+00,4.1251925E-01
-1.2318182E+00,5.7004762E-01,-1.441216E-01,-3.7410049E-02,8.6939083E-01,-3.5089412E-01,8.768602E-02,2.3008467E-01,1.1067183E+00
-7.3675948E-02,-1.0672386E+00,-8.3827869E-02,-4.3216425E-01,3.0423528E-01,-7.0803395E-01,3.3198612E-01,-2.6746562E-01,1.1686622E+00
-4.8414823E-01,1.4150708E+00,-1.4614892E+00,-2.2309867E-02,-1.2304747E+00,4.2635998E-01,2.2223983E-01,3.2442811E-01,3.4716132E-01
-3.5433851E-01,1.2391771E+00,8.6347698E-01,-1.1124119E+00,5.1555338E-01,-1.4062425E-01,-1.687702E-01,-1.1415973E+00,8.9832405E-01
1.0923735E+00,1.2313284E+00,1.4411602E+00,-6.8926296E-01,3.9317782E-01,-9.9417639E-01,3.3740787E-01,-1.1191387E+00,6.8807487E-01
5.4519505E-02,1.2658265E+00,-9.9836079E-02,-1.3904924E+00,1.3703378E+00,1.0087177E+00,2.3928143E-01,-6.4957728E-01,9.0528959E-01
-1.0357329E+00,-1.1972036E-01,-3.3449481E-01,3.0256475E-01,2.5107218E-01,1.4842098E+00,3.643713E-01,-4.1093017E-01,4.8907374E-01
2.1509921E-03,-1.5207102E+00,-1.5450299E+00,-1.0327312E+00,6.1118734E-01,8.6824294E-01,1.02437E+00,-1.2827572E+00,6.9617017E-01
-1.5473878E+00,1.4220871E+00,1.0875758E+00,1.8604652E-01,-7.8232439E-01,-1.3870398E-01,6.5922903E-01,1.4503427E+00,5.5841646E-01
-8.4257301E-01,-2.1915287E-01,1.1002745E+00,9.991921E-01,-9.6073079E-01,-1.3599942E-01,-7.3492914E-01,2.9156198E-01,7.6898642E-01
1.175128E+00,-1.3557599E+00,8.9992586E-01,-1.5326368E+00,7.8393589E-01,1.3371376E+00,7.8824267E-01,-6.0225848E-01,6.9788498E-01
-8.1603565E-01,-2.8483447E-01,1.4268282E+00,-1.1082219E+00,-2.2901051E-01,1.4593896E+00,-1.0159638E-01,5.3334146E-02,4.7800018E-01
1.0824104E+00,5.7430092E-01,9.2456752E-01,6.16795E-01,-5.2857195E-01,1.5465673E+00,1.4960931E+00,1.0330931E+00,4.2453349E-01
-8.9100972E-01,1.3029562E+00,8.890734E-01,-7.8222757E-01,7.15236E-01,-3.8161028E-01,-4.7116792E-01,-3.8614597E-01,8.9823042E-01
7.7176668E-01,-1.2581495E+00,1.2420251E+00,6.6652812E-01,1.2380156E+00,1.4082372E+00,1.035785E+00,5.7502518E-01,4.0411978E-01
-5.5346483E-01,3.4130279E-01,-1.1678894E+00,-5.8129761E-01,5.5935879E-01,-5.1701561E-01,8.7379488E-01,9.0919912E-01,1.1713728E+00
1.7245843E-01,-2.7222079E-01,-4.6991607E-02,4.8425303E-01,1.4979454E+00,1.6387984E-01,-1.0750869E+00,2.0293719E-01,1.0360416E+00
-1.1811045E+00,-1.0559447E+00,-1.2481761E+00,-1.0259455E+00,-7.5450387E-01,-8.4834628E-01,1.4558387E+00,-1.0042361E+00,1.0250167E+00
9.0124034E-01,-4.0572163E-01,1.4605902E+00,1.1364408E+00,-1.4785912E+00,1.5330751E+00,1.5568006E+00,-1.5602348E+00,5.4436687E-01
1.5282708E+00,1.4342202E+00,-2.6529727E-01,-7.2287625E-01,-6.8504477E-01,-9.4957241E-01,-1.1769906E+00,7.0557146E-03,7.4079821E-01
-1.4509235E-02,-5.0180728E-01,-9.3131784E-01,-8.4231014E-01,3.8965722E-01,-1.7285596E-01,9.281213E-01,-7.9512537E-01,1.038361E+00
1.1875074E+00,1.3013686E+00,-1.2444067E+00,-6.8999636E-01,-1.2517455E+00,7.8306954E-01,9.2712942E-01,6.6297878E-01,6.3831186E-01
-1.0182816E-01,3.3408529E-01,-1.1612861E+00,-1.1502582E+00,1.1590817E+00,9.1817822E-01,-3.5367464E-02,-5.4485422E-01,1.0474024E+00
7.4210419E-01,9.4545316E-01,9.8024202E-01,9.7163757E-01,-3.306213E-01,3.182736E-01,-6.5996171E-01,3.7776794E-01,6.4949058E-01
4.2225197E-01,5.5616811E-02,4.157124E-01,3.1396445E-01,7.2522594E-01,-9.0785677E-01,9.871373E-01,-1.2945734E-02,7.1858947E-01
-6.8934867E-02,-1.4428737E+00,-2.3696616E-02,-1.0751023E+00,-5.071912E-01,3.6676985E-01,6.5878826E-02,-8.09065E-01,1.0205836E+00
6.5937547E-01,-4.2469586E-01,7.1325022E-01,1.1971315E+00,-1.2216849E+00,4.9610789E-01,1.3848064E+00,-1.1424275E+00,5.5120546E-01
-1.4154104E+00,-1.6486067E-01,-7.2108075E-01,1.4292305E+00,5.9207065E-01,2.98432E-01,1.523537E+00,6.3567505E-01,7.9384142E-01
-6.632367E-01,7.1483241E-02,1.0603134E+00,4.5915044E-01,1.5075215E+00,-1.3767879E+00,-1.0347524E+00,-7.6607478E-01,7.6012863E-01
-6.4843533E-01,1.3304425E+00,-1.5682681E+00,1.1898534E+00,-3.1604021E-02,1.2978002E+00,7.7350649E-01,-1.172198E+00,9.2326194E-01
-6.7618509E-02,-1.1098343E+00,8.0454987E-02,-1.5134861E+00,-2.3962706E-01,5.0377918E-02,4.1312153E-01,-2.0398421E-01,9.430906E-01
7.9226518E-01,-1.35003E+00,1.3221295E+00,3.1473619E-01,1.097778E-01,-1.5283458E+00,4.1386725E-01,-8.8510231E-01,5.8502247E-01
1.5311321E+00,-1.3722119E+00,5.4623085E-01,-6.7080589E-01,9.2058282E-01,-1.246424E+00,3.8068243E-01,-4.7324385E-01,7.9821997E-01
9.5217517E-01,-3.3379142E-01,7.6809246E-01,9.4142434E-01,-1.082956E-01,-5.0869444E-01,-1.2945987E+00,7.0314038E-01,6.9610955E-01
